Unnamed: 0,file_name,text,Sales,filtered_text,topic
0,SOM_118_00055_FA163EF3DB12-1b43-e3615700-3dca9-642ac24c-d39be.txt,brot urlaub name weiterhelfen ja leider verkehrt leit direkt kollegen auflegen wäre optimal ja gebe kollegen leite ja auflegen bitte tschau,0,,1
1,SOM_TPF_00101_FA163E22F5B7-1af3-de819700-4197c-642ac23d-76e1e.txt,schönen guten tag lauditag stehst ja name helfen ja geht rufnummer ende karte registrieren richtig persönliche kundenkennzahl -stellige nummer hinterlegen einfach -stellige nummer ja ja vielleicht weitere fragen hinterlegen o. weitere fragen wünsche leicht schönen tag,0,lauditag stehst,3
2,SOM_141_00085_FA163E622DEB-1b45-68d0e700-3c9a0-642a9c91-5c661.txt,guten tag herzlich willkommen sprechen leid ja helfen bevor erklären darf sehe mal finden o. gut erst mal ja gerne sagen persönliche kundenkennzahl nennen selbstständige leite weiterleiten selbstständige dafür zuständig ja wünsche schönen tag vielen dank anruf leite weit,0,eta kumpel,1
3,SOM_LUB_00112_FA163E22F5B7-1af3-dc815700-45c46-642af6b8-56ff7.txt,herzlich willkommen service sprechen dominik tun bitte hätte gerne sicherheitskennzahl sicherheitskennzahl bitte per stellige kundenkennzahl vertrag läuft name herr schau bert nummer ende ja bankverbindung gelegt richtig vertrag läuft daher bislang danke wünsche schönen tag,0,bert bislang,1
4,SOM_AMV_00100_FA163E153AE3-1bb7-3f731700-3fe36-642aa428-26432.txt,hallo schönen guten tag name firma ja vorliegen wann wann neue bestellt komisch sehe neuen vertrag o. sehe vertrag karte bekommen seh auto fehler portierung schon beantragt wurde schon genehmigt o. schicke sim-karte mal ja ja genau,0,,1
5,SOM_TPF_00068_FA163ED88855-1bef-bbb26700-3bfaa-642a8868-f3aa7.txt,herzlich willkommen motor ritter name helfen worum geht bisschen mehr wissen o. wurde beauftragt ah fertig o. leite wissen abteilung raten zuständig helfen o. k. wünsche schönen tag nächsten mal danke ciao ciao,0,attila ritter,1
6,SOM_CDA_00485_FA163E22F5B7-1af3-de018700-3abc2-642ac86e-da98f.txt,herzlich willkommen heine finkel name darf tun o. k. -stellige persönliche kundenkennzahl perfekt umzug mal angemeldet genau . april termin fragen anliegen mal kurz überprüfen mal kurz system gleich bleiben bitte kurz dran überprüfe gleich zurück o. hören,0,finkel,1
7,SOM_LUB_00079_FA163E622DEB-1b45-6850d700-3e36b-642a7dc7-94ebd.txt,herzlich willkommen sprechen firma schließ helfen liegen sehe . mal legitimiert sehen vertragsinhaber vertrag richtig folgendes vermute wäre möglich nötig mahnabteilung darüber reden fachabteilung weiterleiten bestimmt mal zahlung gleich dran danke wiederhören danke,0,schließ mahnabteilung,1
8,SOM_138_00123_FA163ED88855-1bef-bb325700-3d29b-642ade28-e0c66.txt,hallo schönen guten tag name helfen bitte nein sim-karte brauchen natürlich lassen bewegungen gibt probleme einfach möchten neues tun fragen verstehe sehe tut leid ganze situation schon gesagt schicke zurück sicher kaputt natürlich schauen bedanke anruf wünsche schönen tag frage halt freue positiv bewerten fragen skala - beste wert bedanke danke,0,willer bewegungen,1
9,SOM_SJJ_00153_FA163E622DEB-1b45-6950f700-3d322-642afaab-7e98e.txt,hallo schönen guten tag willkommen name ja wunderbar ersatz sim-karte geben telefonnummer anrufen nummer nachrichten gesperrt anruf raten datenvolumen genutzt mobilen daten moment passiert karten multikarten bekommen sms anrufe gesperrt schon gemacht ankommen dabei karten musik karten ottofer sinne beiden außenwänden datenvolumen genutzt schon erledigt irgendwas tun weitere fragen schönen tag wünsche wiederhören,0,außenwänden,3
10,SOM_TPF_00194_FA163E622DEB-1b45-6850d700-40404-642ab115-72ae2.txt,herzlich willkommen service name darf tun o. k. moment bitte persönliche kundenkennzahl mitteilen richtig ja moment rufnummer geht bitte ende ja findest rufnummer bitte vorsicht scheint ja moment liegt störung störung sehe regionale störung manchmal netzwerke reparieren mal weisung funktioniert immer gut normalerweise momentan störung liegt ja sobald neue nachricht kommt per verhalten gute vielen dank anruf,0,findest regionale netzwerke verhalten,1
11,SOM_138_00237_FA163ED88855-1bef-bb325700-3c0b0-642aa777-3b56f.txt,gutschrift tun guten tag ja schauen mal geht letzte rechnung ja mal geht ja zusatzleistungen immer schaue mal sagen aha schadenersatz zurückgesendet leihgeräte schauen mal ticket zugeschickt router zeichensystems ja o. k. schauen mal na ja nachricht router gesendet wurde ja ja ja ja genau moment schaue mal o. k. sache sozusagen frau bearbeitung ja sehe bitte geduld gerade nachgeschaut gibt t-systems geht anruf . schon gibt ticket erstellt wurde nachricht hotel januar schon geschickt ja bitte geduld erhalten angedachte glaube gunsten glaube glaube irgendwelche fragen o. brauchen zusätzliche information produkte brunch frau gar vielen dank gespräch vielen dank schönen tag wünsche danke,0,zusatzleistungen zeichensystems t-systems angedachte gunsten brunch,3
12,SOM_LUB_00220_FA163E622DEB-1b45-6950f700-3d883-642b0844-e5c76.txt,guten tag sprechen sagen helfen ja geht angegebene rufnummer persönliche kundenkennzahl danke sehe kündigungsdatum . mai ja entschuldigung entschuldigung . april wann portierungsdatum ja sehe rufnummer export schon gemacht kündigung wegen portierung datum änderung ja alte datum . april portierung . april automatisch geändert taufen datum . april bedeutet portierungsdatum rufnummer sim-karte verträge deaktiviert . . bekommen rufnummer neue vertrag automatisch geändert natürlich ganz normale sim-karte ja bekommen anbieter karte ja ja schicken ganz neue karte nutzen ja mehr kleine bitte falls bekommen sms umfrage bitte gute bewertung betrifft arbeit danke wünsche schönen abend wiederhören danke,0,angegebene portierungsdatum export taufen portierungsdatum,2
